Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR,Age_Group,Income_Band,High_CTR_Low_Conversion,High_CTR_High_Conversion
22,Female,56317.49,Urban,Text,Food,Website,6,2023-07-29 20:45:56.899351,0.1866,0.0598,18–24,Middle,0,1
9,Female,73602.32,Urban,Video,Travel,Search Engine,8,2023-07-11 20:45:56.899351,0.0731,0.036,18–24,Upper-Middle,0,0
37,Male,40871.66,Urban,Native,Finance,Website,4,2023-06-09 20:45:56.899351,0.0723,0.0459,35–44,Middle,0,0
28,Female,58183.05,Rural,Banner,Travel,Website,1,2023-12-25 20:45:56.899351,0.0407,0.0187,25–34,Middle,0,0
10,Male,20402.04,Urban,Banner,Food,Website,5,2024-04-03 20:45:56.899351,0.386,0.0342,18–24,Low,0,0
41,Male,75458.8,Urban,Video,Food,Social Media,1,2023-09-09 20:45:56.899351,0.079,0.0303,35–44,Upper-Middle,0,0
21,Male,33990.5,Rural,Native,Technology,Social Media,4,2023-07-13 20:45:56.899351,0.4223,0.04,18–24,Middle,0,0
35,Female,41135.72,Suburban,Banner,Fashion,Website,7,2023-04-23 20:45:56.899351,0.0189,0.0484,35–44,Middle,0,0
45,Female,57373.69,Urban,Video,Technology,Search Engine,1,2024-03-30 20:45:56.899351,0.1223,0.0077,45–54,Middle,0,0
36,Male,65014.85,Rural,Video,Finance,Social Media,10,2023-11-02 20:45:56.899351,0.2394,0.0678,35–44,Upper-Middle,0,1
52,Female,68853.82,Urban,Banner,Fashion,Search Engine,3,2023-07-13 20:45:56.899351,0.0596,0.0254,45–54,Upper-Middle,0,0
16,Male,82985.49,Rural,Banner,Technology,Social Media,4,2023-09-06 20:45:56.899351,0.3877,0.043,18–24,Upper-Middle,0,0
41,Male,19089.89,Urban,Banner,Food,Website,1,2023-10-23 20:45:56.899351,0.1403,0.0197,35–44,Low,0,0
24,Female,25319.53,Rural,Text,Finance,Social Media,6,2023-07-20 20:45:56.899351,0.1879,0.0253,18–24,Low,0,0
21,Male,31980.07,Suburban,Banner,Fashion,Search Engine,3,2024-02-20 20:45:56.899351,0.3858,0.0557,18–24,Middle,0,1
26,Male,24529.2,Rural,Banner,Health,Search Engine,6,2023-06-28 20:45:56.899351,0.4765,0.0567,25–34,Low,0,1
30,Female,48769.03,Urban,Video,Fashion,Social Media,5,2023-10-28 20:45:56.899351,0.245,0.0835,25–34,Middle,0,1
35,Other,87281.97,Suburban,Video,Food,Website,4,2023-11-23 20:45:56.899351,0.2179,0.053,35–44,Upper-Middle,0,1
17,Other,43013.73,Suburban,Native,Food,Website,1,2024-02-29 20:45:56.899351,0.1695,0.0573,18–24,Middle,1,0
48,Male,54347.78,Urban,Native,Fashion,Search Engine,6,2024-03-07 20:45:56.899351,0.2648,0.0544,45–54,Middle,0,1
41,Other,1250.54,Suburban,Text,Health,Search Engine,2,2023-05-02 20:45:56.899351,0.1896,0.0268,35–44,Low,0,0
11,Other,49232.54,Suburban,Banner,Fashion,Search Engine,4,2024-04-07 20:45:56.899351,0.1375,0.0437,18–24,Middle,0,0
57,Male,44979.21,Urban,Native,Travel,Social Media,0,2024-01-26 20:45:56.899351,0.1081,0.0165,55–64,Middle,0,0
63,Male,35720.87,Rural,Text,Fashion,Social Media,5,2023-12-31 20:45:56.899351,0.2205,0.026,55–64,Middle,0,0
52,Male,67818.54,Rural,Video,Finance,Search Engine,5,2023-06-17 20:45:56.899351,0.245,0.0278,45–54,Upper-Middle,0,0
32,Female,76733.48,Suburban,Banner,Health,Website,3,2023-08-03 20:45:56.899351,0.0495,0.0794,25–34,Upper-Middle,1,0
18,Male,48339.17,Suburban,Native,Travel,Social Media,4,2023-08-06 20:45:56.899351,0.3176,0.037,18–24,Middle,0,0
50,Male,100260.79,Urban,Native,Fashion,Search Engine,5,2023-04-27 20:45:56.899351,0.188,0.0674,45–54,High,0,1
28,Male,51961.63,Suburban,Video,Fashion,Website,5,2023-11-11 20:45:56.899351,0.1723,0.0504,25–34,Middle,1,0
53,Male,33027.18,Suburban,Native,Finance,Search Engine,4,2024-01-04 20:45:56.899351,0.3081,0.0236,45–54,Middle,0,0
38,Female,59997.25,Rural,Banner,Health,Search Engine,7,2023-12-09 20:45:56.899351,0.1605,0.0117,35–44,Middle,0,0
49,Female,41810.76,Suburban,Text,Fashion,Search Engine,6,2023-08-06 20:45:56.899351,0.1124,0.0682,45–54,Middle,1,0
40,Female,60917.19,Rural,Native,Food,Website,2,2023-11-25 20:45:56.899351,0.2183,0.0602,35–44,Upper-Middle,0,1
45,Male,40275.68,Suburban,Text,Finance,Website,5,2023-09-07 20:45:56.899351,0.0885,0.0535,45–54,Middle,1,0
35,Female,9089.99,Suburban,Banner,Finance,Search Engine,6,2023-08-21 20:45:56.899351,0.3752,0.0379,35–44,Low,0,0
61,Female,70786.39,Suburban,Native,Health,Website,2,2024-01-10 20:45:56.899351,0.0292,0.0705,55–64,Upper-Middle,1,0
36,Female,52336.99,Rural,Native,Travel,Social Media,6,2023-09-12 20:45:56.899351,0.1221,0.1,35–44,Middle,1,0
41,Male,15668.23,Urban,Text,Finance,Search Engine,6,2023-06-30 20:45:56.899351,0.1326,0.0359,35–44,Low,0,0
63,Male,27858.24,Urban,Video,Finance,Social Media,7,2023-06-30 20:45:56.899351,0.0656,0.084,55–64,Low,1,0
14,Female,55036.75,Suburban,Video,Food,Social Media,6,2024-04-19 20:45:56.899351,0.0708,0.051,18–24,Middle,1,0
15,Male,25102.63,Rural,Native,Finance,Social Media,3,2023-10-23 20:45:56.899351,0.2316,0.047,18–24,Low,0,0
49,Female,61179.65,Suburban,Video,Travel,Website,5,2024-01-07 20:45:56.899351,0.1648,0.0558,45–54,Upper-Middle,1,0
17,Other,85541.33,Suburban,Banner,Fashion,Search Engine,6,2023-12-23 20:45:56.899351,0.2446,0.0377,18–24,Upper-Middle,0,0
64,Male,18081.34,Urban,Video,Technology,Search Engine,5,2024-03-26 20:45:56.899351,0.3892,0.0208,55–64,Low,0,0
28,Female,80814.86,Urban,Native,Technology,Social Media,3,2024-03-02 20:45:56.899351,0.4125,0.0625,25–34,Upper-Middle,0,1
23,Male,38205.39,Suburban,Native,Health,Website,5,2023-08-23 20:45:56.899351,0.2928,0.0659,18–24,Middle,0,1
63,Female,13715.06,Rural,Banner,Food,Social Media,7,2023-09-06 20:45:56.899351,0.2759,0.0371,55–64,Low,0,0
57,Other,53396.39,Rural,Native,Fashion,Social Media,9,2024-02-12 20:45:56.899351,0.2716,0.034,55–64,Middle,0,0
63,Male,47409.79,Rural,Banner,Fashion,Social Media,4,2023-12-20 20:45:56.899351,0.053,0.025,55–64,Middle,0,0
48,Other,60555.09,Suburban,Banner,Fashion,Search Engine,6,2024-03-07 20:45:56.899351,0.2151,0.0507,45–54,Upper-Middle,0,1
22,Female,54892.26,Urban,Banner,Travel,Search Engine,7,2023-08-03 20:45:56.899351,0.1797,0.0652,18–24,Middle,1,0
63,Female,43529.85,Urban,Video,Health,Search Engine,3,2023-09-11 20:45:56.899351,0.0988,0.0793,55–64,Middle,1,0
30,Female,75123.72,Urban,Video,Finance,Website,6,2023-10-04 20:45:56.899351,0.0565,0.0523,25–34,Upper-Middle,1,0
47,Female,65100.79,Urban,Video,Food,Social Media,5,2023-10-11 20:45:56.899351,0.148,0.0608,45–54,Upper-Middle,1,0
49,Male,53027.76,Urban,Native,Fashion,Website,6,2024-04-04 20:45:56.899351,0.3582,0.0822,45–54,Middle,0,1
32,Other,41570.32,Urban,Native,Technology,Social Media,8,2024-02-27 20:45:56.899351,0.1832,0.0748,25–34,Middle,0,1
44,Male,66296.73,Suburban,Text,Technology,Social Media,9,2023-07-07 20:45:56.899351,0.3795,0.0502,35–44,Upper-Middle,0,0
48,Male,78603.46,Urban,Text,Technology,Search Engine,7,2024-02-11 20:45:56.899351,0.1896,0.0525,45–54,Upper-Middle,0,1
40,Female,52601.79,Suburban,Text,Fashion,Website,5,2023-06-27 20:45:56.899351,0.1757,0.0415,35–44,Middle,0,0
18,Male,59207.78,Urban,Banner,Finance,Website,3,2023-11-02 20:45:56.899351,0.1558,0.062,18–24,Middle,1,0
39,Male,32601.22,Urban,Banner,Technology,Website,4,2023-09-02 20:45:56.899351,0.1829,0.0249,35–44,Middle,0,0
54,Male,49525.38,Urban,Banner,Technology,Search Engine,6,2023-04-22 20:45:56.899351,0.2495,0.0456,45–54,Middle,0,0
24,Male,27523.28,Urban,Text,Health,Social Media,4,2023-11-18 20:45:56.899351,0.2826,0.0427,18–24,Low,0,0
32,Other,52754.67,Suburban,Text,Health,Social Media,5,2023-12-08 20:45:56.899351,0.1387,0.0481,25–34,Middle,0,0
28,Female,54883.59,Suburban,Banner,Finance,Website,6,2024-03-20 20:45:56.899351,0.4485,0.0375,25–34,Middle,0,0
62,Female,15418.29,Rural,Text,Fashion,Social Media,9,2023-11-24 20:45:56.899351,0.1383,0.0703,55–64,Low,1,0
45,Female,40055.2,Rural,Banner,Food,Social Media,3,2023-06-21 20:45:56.899351,0.4684,0.0523,45–54,Middle,0,1
41,Female,76007.96,Suburban,Text,Finance,Search Engine,8,2024-02-17 20:45:56.899351,0.2614,0.0426,35–44,Upper-Middle,0,0
23,Male,38639.97,Suburban,Banner,Fashion,Social Media,4,2024-02-09 20:45:56.899351,0.2637,0.0454,18–24,Middle,0,0
43,Female,61891.35,Rural,Banner,Health,Search Engine,7,2024-03-22 20:45:56.899351,0.2266,0.0506,35–44,Upper-Middle,0,1
24,Male,64885.02,Urban,Text,Health,Social Media,9,2023-09-09 20:45:56.899351,0.1886,0.0569,18–24,Upper-Middle,0,1
35,Male,44861.95,Rural,Native,Travel,Search Engine,3,2023-06-08 20:45:56.899351,0.3215,0.0852,35–44,Middle,0,1
25,Female,30298.96,Urban,Native,Health,Website,3,2024-03-10 20:45:56.899351,0.1246,0.0284,25–34,Middle,0,0
45,Male,54726.72,Urban,Native,Health,Search Engine,7,2023-05-10 20:45:56.899351,0.2797,0.0346,45–54,Middle,0,0
43,Male,56708.49,Rural,Video,Travel,Website,7,2023-07-02 20:45:56.899351,0.0061,0.0492,35–44,Middle,0,0
31,Male,9662.59,Urban,Video,Technology,Social Media,4,2023-11-19 20:45:56.899351,0.0404,0.0447,25–34,Low,0,0
40,Female,63083.44,Urban,Video,Health,Social Media,8,2024-01-13 20:45:56.899351,0.0314,0.0704,35–44,Upper-Middle,1,0
18,Male,52019.09,Urban,Native,Health,Search Engine,7,2023-07-09 20:45:56.899351,0.2714,0.0913,18–24,Middle,0,1
12,Other,51594.96,Urban,Video,Food,Search Engine,2,2024-02-25 20:45:56.899351,0.2567,0.0821,18–24,Middle,0,1
41,Other,82441.0,Rural,Banner,Fashion,Search Engine,5,2023-05-20 20:45:56.899351,0.1362,0.0577,35–44,Upper-Middle,1,0
37,Male,72557.72,Urban,Native,Food,Search Engine,2,2023-10-21 20:45:56.899351,0.0633,0.0464,35–44,Upper-Middle,0,0
44,Male,81286.8,Urban,Text,Food,Social Media,2,2023-09-17 20:45:56.899351,0.2082,0.0594,35–44,Upper-Middle,0,1
70,Female,84652.97,Suburban,Text,Health,Search Engine,5,2023-08-23 20:45:56.899351,0.3645,0.0625,65+,Upper-Middle,0,1
49,Female,51944.78,Urban,Banner,Finance,Search Engine,7,2024-04-04 20:45:56.899351,0.1069,0.051,45–54,Middle,1,0
21,Other,48634.92,Urban,Text,Food,Social Media,8,2023-08-19 20:45:56.899351,0.1038,0.043,18–24,Middle,0,0
51,Male,60914.57,Suburban,Video,Technology,Website,5,2024-03-04 20:45:56.899351,0.0683,0.0556,45–54,Upper-Middle,1,0
15,Other,11892.93,Urban,Banner,Technology,Search Engine,5,2024-01-28 20:45:56.899351,0.1221,0.0612,18–24,Low,1,0
28,Female,85270.6,Rural,Video,Food,Social Media,4,2023-07-23 20:45:56.899351,0.3224,0.0709,25–34,Upper-Middle,0,1
33,Female,18969.96,Urban,Native,Food,Search Engine,3,2023-08-17 20:45:56.899351,0.0858,0.0424,25–34,Low,0,0
60,Female,25592.38,Rural,Native,Fashion,Website,6,2023-11-13 20:45:56.899351,0.1135,0.003,55–64,Low,0,0
23,Male,46397.3,Rural,Banner,Food,Website,3,2023-12-27 20:45:56.899351,0.5816,0.0513,18–24,Middle,0,1
22,Male,-3869.55,Rural,Text,Technology,Website,3,2023-10-03 20:45:56.899351,0.2029,0.0368,18–24,,0,0
33,Female,53430.69,Rural,Text,Technology,Search Engine,2,2023-10-18 20:45:56.899351,0.0192,0.0461,25–34,Middle,0,0
25,Female,62058.98,Urban,Native,Travel,Social Media,6,2023-11-30 20:45:56.899351,0.3087,0.0506,25–34,Upper-Middle,0,1
51,Female,51146.08,Rural,Banner,Health,Search Engine,5,2023-08-05 20:45:56.899351,0.2215,0.0249,45–54,Middle,0,0
18,Male,97146.85,Rural,Banner,Food,Social Media,5,2024-01-31 20:45:56.899351,0.0673,0.0431,18–24,High,0,0
17,Male,45833.33,Urban,Banner,Fashion,Search Engine,3,2023-06-26 20:45:56.899351,0.1868,0.0128,18–24,Middle,0,0
28,Male,40966.93,Rural,Text,Travel,Website,6,2023-12-13 20:45:56.899351,0.2644,0.0386,25–34,Middle,0,0
27,Male,45165.85,Rural,Banner,Travel,Website,9,2023-08-09 20:45:56.899351,0.2373,0.0536,25–34,Middle,0,1
63,Male,59326.49,Urban,Banner,Travel,Search Engine,7,2023-12-19 20:45:56.899351,0.1706,0.0524,55–64,Middle,1,0
49,Male,37347.22,Urban,Banner,Travel,Website,2,2023-11-21 20:45:56.899351,0.0215,0.0196,45–54,Middle,0,0
36,Female,52417.55,Rural,Text,Technology,Website,4,2023-11-14 20:45:56.899351,0.1839,0.0875,35–44,Middle,0,1
16,Female,54298.77,Suburban,Banner,Finance,Social Media,3,2023-07-23 20:45:56.899351,0.2166,0.0238,18–24,Middle,0,0
47,Female,76878.53,Urban,Banner,Travel,Search Engine,2,2023-05-05 20:45:56.899351,0.1634,0.0584,45–54,Upper-Middle,1,0
19,Female,75503.0,Suburban,Banner,Health,Social Media,0,2024-04-13 20:45:56.899351,0.1322,0.0603,18–24,Upper-Middle,1,0
11,Female,40989.37,Urban,Banner,Fashion,Search Engine,5,2023-08-19 20:45:56.899351,0.0976,0.0665,18–24,Middle,1,0
52,Female,38487.22,Rural,Native,Finance,Website,4,2023-08-18 20:45:56.899351,0.0248,0.0608,45–54,Middle,1,0
39,Female,78126.88,Rural,Text,Technology,Social Media,6,2023-07-05 20:45:56.899351,0.1779,0.0315,35–44,Upper-Middle,0,0
48,Female,20243.96,Urban,Text,Food,Search Engine,11,2023-05-02 20:45:56.899351,0.2485,0.0607,45–54,Low,0,1
39,Other,39923.75,Urban,Native,Health,Website,5,2023-09-27 20:45:56.899351,0.0663,0.0675,35–44,Middle,1,0
47,Female,69680.47,Rural,Video,Finance,Search Engine,3,2023-12-21 20:45:56.899351,0.1445,0.0456,45–54,Upper-Middle,0,0
25,Female,28311.37,Rural,Banner,Health,Website,9,2024-03-20 20:45:56.899351,0.4679,0.0,25–34,Low,0,0
19,Male,44431.65,Suburban,Video,Travel,Search Engine,4,2023-05-29 20:45:56.899351,0.1548,0.0671,18–24,Middle,1,0
45,Female,58831.02,Rural,Native,Finance,Search Engine,5,2023-05-03 20:45:56.899351,0.1234,0.0495,45–54,Middle,0,0
22,Female,47674.3,Urban,Video,Finance,Website,3,2024-03-02 20:45:56.899351,0.2847,0.0351,18–24,Middle,0,0
24,Other,53515.64,Urban,Native,Food,Social Media,7,2023-11-25 20:45:56.899351,0.1486,0.0259,18–24,Middle,0,0
28,Male,64822.85,Suburban,Video,Fashion,Search Engine,5,2023-08-09 20:45:56.899351,0.2065,0.0229,25–34,Upper-Middle,0,0
35,Female,42662.36,Suburban,Video,Travel,Search Engine,8,2024-02-21 20:45:56.899351,0.1459,0.0156,35–44,Middle,0,0
29,Male,35588.51,Urban,Native,Finance,Search Engine,3,2023-07-24 20:45:56.899351,0.3702,0.0059,25–34,Middle,0,0
14,Other,39951.96,Rural,Text,Finance,Social Media,5,2023-11-15 20:45:56.899351,0.2414,0.0453,18–24,Middle,0,0
25,Male,54124.51,Suburban,Native,Fashion,Social Media,1,2023-12-03 20:45:56.899351,0.1491,0.0614,25–34,Middle,1,0
1,Female,64483.56,Rural,Native,Travel,Search Engine,4,2024-01-29 20:45:56.899351,0.0273,0.0257,18–24,Upper-Middle,0,0
44,Male,81805.55,Suburban,Video,Finance,Website,5,2023-06-09 20:45:56.899351,0.3002,0.0491,35–44,Upper-Middle,0,0
10,Female,51865.55,Rural,Native,Travel,Social Media,4,2023-07-19 20:45:56.899351,0.1273,0.0426,18–24,Middle,0,0
18,Female,36219.06,Suburban,Native,Food,Search Engine,6,2023-08-27 20:45:56.899351,0.2544,0.0381,18–24,Middle,0,0
35,Female,10019.72,Urban,Banner,Finance,Search Engine,4,2023-05-06 20:45:56.899351,0.3539,0.0729,35–44,Low,0,1
23,Other,41475.55,Suburban,Text,Finance,Social Media,4,2024-01-14 20:45:56.899351,0.1573,0.0666,18–24,Middle,1,0
58,Female,26523.66,Suburban,Text,Technology,Website,5,2023-06-30 20:45:56.899351,0.2946,0.0706,55–64,Low,0,1
15,Male,72601.06,Rural,Video,Food,Social Media,4,2023-12-11 20:45:56.899351,0.367,0.0331,18–24,Upper-Middle,0,0
39,Female,58363.24,Suburban,Text,Finance,Social Media,9,2023-10-05 20:45:56.899351,0.2353,0.0385,35–44,Middle,0,0
34,Female,3737.92,Rural,Native,Technology,Website,5,2024-01-20 20:45:56.899351,0.1906,0.0447,25–34,Low,0,0
17,Female,61845.61,Rural,Native,Food,Search Engine,3,2023-10-12 20:45:56.899351,0.2381,0.0276,18–24,Upper-Middle,0,0
42,Female,43997.24,Urban,Video,Technology,Website,5,2024-03-15 20:45:56.899351,0.2315,0.0436,35–44,Middle,0,0
32,Female,84195.66,Urban,Native,Technology,Website,6,2023-05-09 20:45:56.899351,0.1386,0.0602,25–34,Upper-Middle,1,0
46,Male,26808.65,Urban,Video,Travel,Search Engine,3,2023-11-04 20:45:56.899351,0.1175,0.0473,45–54,Low,0,0
47,Other,7413.33,Urban,Banner,Travel,Website,5,2023-09-10 20:45:56.899351,0.2326,0.0441,45–54,Low,0,0
67,Male,43385.61,Rural,Native,Finance,Website,5,2023-08-25 20:45:56.899351,0.0557,0.0529,65+,Middle,1,0
55,Female,75204.79,Urban,Text,Health,Social Media,7,2023-08-22 20:45:56.899351,0.1795,0.0406,55–64,Upper-Middle,0,0
29,Male,35780.37,Urban,Text,Technology,Social Media,8,2023-04-25 20:45:56.899351,0.3677,0.0724,25–34,Middle,0,1
31,Other,85215.63,Suburban,Video,Food,Social Media,1,2024-02-24 20:45:56.899351,0.266,0.0223,25–34,Upper-Middle,0,0
51,Other,36943.76,Urban,Video,Fashion,Website,4,2023-09-15 20:45:56.899351,0.0912,0.012,45–54,Middle,0,0
44,Other,82934.94,Rural,Banner,Fashion,Website,4,2024-03-02 20:45:56.899351,0.1029,0.0566,35–44,Upper-Middle,1,0
44,Female,31034.83,Urban,Video,Fashion,Search Engine,5,2023-11-21 20:45:56.899351,0.1128,0.0364,35–44,Middle,0,0
10,Male,33305.54,Rural,Banner,Health,Search Engine,0,2023-08-03 20:45:56.899351,0.1628,0.0585,18–24,Middle,1,0
